episode,reward,steps
428,-289.36522268330594,55
429,-229.67327743690447,40
430,-232.32150203256583,50
431,-243.00099723944942,40
432,-186.3206302708305,39
433,-247.54615856635442,48
434,-274.6222829578458,48
435,-240.10357927330637,39
436,-282.6243127366731,54
437,-199.94850166342468,43
438,-217.87682762082844,36
439,-322.8245872466478,66
440,-203.25865736084185,44
441,-209.61697315685902,48
442,-166.96080375774636,46
443,-220.53717713833598,44
444,-196.1399095921102,37
445,-150.57472764892267,47
446,-330.6278592035066,59
447,-241.66002494780216,51
448,-234.03373513289415,42
449,-154.73441981701217,37
450,-234.56859717640174,40
451,-234.90918115072498,39
452,-199.5753665924212,46
453,-168.6567612867887,38
454,-273.7280939276775,46
455,-264.1021077752515,45
456,-217.91409278453878,41
457,-218.15483188905708,40
458,-123.69167980867839,36
459,-281.4186728636082,48
460,-183.15982106810134,46
461,-186.16097535274847,41
462,-120.31652695660888,45
463,-266.2286542924543,46
464,-230.46681436631926,39
465,-261.2620370994806,61
466,-278.32788937564595,48
467,-180.04269011390193,35
468,-228.68658969275768,52
469,-277.26740112103244,55
470,-139.72229780090674,35
471,-236.02900053163327,41
472,-236.65734932763868,53
473,-199.0174731354394,41
474,-269.2691566887861,46
475,-315.2855366252799,64
476,-259.30300377973896,44
477,-232.41283750446217,45
478,-359.607341958878,63
479,-155.23218488056992,37
480,-183.8012791638312,40
481,-245.29506883616563,50
482,-230.44332086112178,40
483,-257.734649905899,56
484,-205.95670943695958,40
485,-298.80772251719077,51
486,121.88682132001802,7
487,-214.1428379942606,51
488,-253.159046977651,48
489,-235.8904027116177,44
490,-230.47839733465904,40
491,-213.0818447752538,39
492,-271.57063372776145,51
493,-239.10639213301533,39
494,-208.8707657829479,45
495,-252.54696614821344,46
496,-290.7667519484912,53
497,-215.5809828318953,44
498,-169.4198368160802,37
499,-226.4092888018033,38
500,-289.3031157691891,51
501,-225.01612740325047,48
502,-161.50154109871056,41
503,-170.5375640386267,36
504,-175.4680625888452,39
505,-329.1837205964991,57
506,-120.96981728300483,36
507,-185.9657719758185,38
508,-154.9892760285653,35
509,-186.73555353644866,37
510,-195.61815714474707,45
511,-187.01300851463816,44
512,-263.6629611441348,44
513,-199.98542851890423,41
514,-213.2185055835982,46
515,-191.24711114832508,46
516,-285.44229327127425,64
517,-166.2095422115883,42
518,-170.59955447295314,37
519,-233.66397584953032,51
520,-197.36498036050725,40
521,-198.94417252327693,35
522,-234.31756359011518,46
523,-218.81919834887665,38
524,-268.1804439682688,53
525,-241.86658809512414,40
526,-168.7103712866903,46
527,-299.6594472082,51
528,-177.86026217124447,42
529,-167.17304622156718,37
530,-241.26862977637705,40
531,-164.7922428059071,42
532,-170.65970474707132,41
533,-260.3181429769012,43
534,-324.8805827489978,65
535,-303.9954606347013,61
536,-182.5651681005999,39
537,-303.44084437911243,54
538,-191.5495058730611,43
539,-267.7137204621339,55
540,-213.11673281887454,45
541,-198.2603990439483,41
542,-211.93147678601682,42
543,-130.8943190096991,36
544,-237.85946500520188,40
545,-189.35957331767005,36
