episode,reward,steps
268,-210.98161746563875,200
269,-173.2906816874931,200
270,-153.73867866720227,200
271,-155.59267348179227,200
272,-262.6649128217116,200
273,-255.58160768923412,200
274,-195.21918605747365,200
275,-171.72472415752324,200
276,-173.43241174893677,200
277,-202.1690804718471,200
278,-173.8198145148848,200
279,-270.2047071771785,200
280,-165.31298954474002,200
281,-181.3117161402544,200
282,-151.47116816519554,200
283,-265.1738935673187,200
284,-179.0856877478201,200
285,-182.839534442987,200
286,-163.8699161396866,200
287,-188.9170183985531,200
288,-259.62130302305445,200
289,-174.83535442688785,200
290,-152.7505280246396,200
291,-254.12388904029214,200
292,-258.916720162406,200
293,-205.33493168765148,200
294,-159.7806211484533,200
295,-192.21198033832664,200
296,-228.2684683071991,200
297,-157.1399077264028,200
298,-152.1878073823173,173
299,-188.6499293110892,200
300,-171.2491610117602,200
301,-254.59238401391647,200
302,-175.66124672102887,200
303,-191.94086247577613,200
304,-159.2651769052157,200
305,-168.52254161558668,176
306,-178.8766249277127,188
307,-168.82923701798924,192
308,-260.83953659326863,200
309,-167.45406491990283,177
310,-168.48656100044101,200
311,-165.15419050399728,172
312,-167.57200461918282,174
313,-159.43069655947275,165
314,-171.9633925434162,167
315,-166.46488545965892,169
316,-163.78048353792354,166
317,-167.73031673804337,165
318,-158.60027688337092,165
319,-189.7614407089556,179
320,-161.31209951313346,164
321,-167.66693254654572,165
322,-169.14909351350272,170
323,-156.3200588343146,164
324,-157.54190230975976,164
325,-167.43433886405984,167
326,-165.20401871786285,168
327,-171.06867295119002,166
328,-159.58793468840676,163
329,-152.51689359133786,161
330,-192.0598510849537,190
331,-185.2007076991227,181
332,-183.06238659970316,170
333,-178.5757341315156,182
334,-288.3455227687791,200
335,-189.35103126156903,173
336,-182.69550632676058,175
337,-176.58593073770183,174
338,-187.18810346358612,186
339,-181.3709949244756,182
340,-184.01169102695388,178
341,-175.8221841354334,176
342,-190.07144943583103,191
343,-168.1073702537111,170
344,-168.36230969474306,172
345,-211.8463798336046,200
